trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
387,False,"{'e': 0.14442426882354198, 'a': 0.5129999999999997}",35,11,21.44074051696093,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
388,False,"{'e': 0.14370394977770293, 'a': 0.5119999999999997}",35,17,6.739085082769127,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
389,False,"{'e': 0.14298722333809288, 'a': 0.5109999999999997}",20,0,-11.311891402562736,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
390,False,"{'e': 0.1422740715865136, 'a': 0.5099999999999997}",20,2,1.595627207763697,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
391,False,"{'e': 0.14156447669413402, 'a': 0.5089999999999997}",20,8,-70.00269312114136,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
392,False,"{'e': 0.140858420921045, 'a': 0.5079999999999997}",20,15,1.7898428254795768,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
393,False,"{'e': 0.14015588661581535, 'a': 0.5069999999999997}",30,18,13.870521269636583,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
394,False,"{'e': 0.13945685621505094, 'a': 0.5059999999999997}",25,11,12.559580558783164,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
395,False,"{'e': 0.13876131224295524, 'a': 0.5049999999999997}",30,13,24.604076447601216,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'e': 0.13806923731089282, 'a': 0.5039999999999997}",25,20,9.956676569933224,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'e': 0.13738061411695424, 'a': 0.5029999999999997}",20,0,-6.499861840839323,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
398,False,"{'e': 0.13669542544552385, 'a': 0.5019999999999997}",20,15,10.861254822651283,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'e': 0.13601365416684916, 'a': 0.5009999999999997}",20,10,4.505355035917484,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
400,False,"{'e': 0.1353352832366127, 'a': 0.49999999999999967}",20,11,7.834457959654699,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
401,False,"{'e': 0.13466029569550586, 'a': 0.49899999999999967}",25,7,18.084869139522244,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
402,False,"{'e': 0.13398867466880493, 'a': 0.49799999999999967}",20,4,4.404820946920784,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
403,False,"{'e': 0.13332040336594936, 'a': 0.49699999999999966}",20,10,10.725472017766805,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'e': 0.13265546508012172, 'a': 0.49599999999999966}",30,20,2.8681200625325136,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
405,False,"{'e': 0.13199384318783022, 'a': 0.49499999999999966}",20,10,-22.65839903599198,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
406,False,"{'e': 0.13133552114849303, 'a': 0.49399999999999966}",30,16,27.08767051634799,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'e': 0.13068048250402503, 'a': 0.49299999999999966}",20,12,14.602429475974958,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'e': 0.1300287108784259, 'a': 0.49199999999999966}",25,20,7.804158229227651,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'e': 0.12938018997737108, 'a': 0.49099999999999966}",20,4,13.80686608127179,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
410,False,"{'e': 0.12873490358780423, 'a': 0.48999999999999966}",20,6,-20.220987955161053,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
411,False,"{'e': 0.12809283557753198, 'a': 0.48899999999999966}",20,12,11.181007827008278,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'e': 0.12745396989482075, 'a': 0.48799999999999966}",20,15,5.1549099802252085,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'e': 0.1268182905679951, 'a': 0.48699999999999966}",30,14,19.657545716688038,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
414,False,"{'e': 0.12618578170503877, 'a': 0.48599999999999965}",25,11,17.56881977712316,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
415,False,"{'e': 0.1255564274931972, 'a': 0.48499999999999965}",25,15,6.033483018828196,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
416,False,"{'e': 0.12493021219858241, 'a': 0.48399999999999965}",30,16,21.450676274612324,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'e': 0.12430712016577938, 'a': 0.48299999999999965}",20,14,9.917013235579418,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'e': 0.12368713581745483, 'a': 0.48199999999999965}",30,16,-13.020353980214376,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
419,False,"{'e': 0.12307024365396771, 'a': 0.48099999999999965}",20,7,2.1721284186586787,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
420,False,"{'e': 0.1224564282529819, 'a': 0.47999999999999965}",30,0,31.799502512064187,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",1
421,False,"{'e': 0.12184567426908036, 'a': 0.47899999999999965}",35,17,21.754681216678765,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
422,False,"{'e': 0.12123796643338168, 'a': 0.47799999999999965}",20,6,4.226696853591016,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
423,False,"{'e': 0.12063328955315826, 'a': 0.47699999999999965}",30,22,11.651241802191409,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'e': 0.12003162851145673, 'a': 0.47599999999999965}",30,0,40.416023327619286,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
425,False,"{'e': 0.11943296826671962, 'a': 0.47499999999999964}",25,8,15.124386685381676,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
426,False,"{'e': 0.11883729385240965, 'a': 0.47399999999999964}",25,0,17.079895878737783,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
427,False,"{'e': 0.1182445903766354, 'a': 0.47299999999999964}",20,9,8.351701982364927,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
